name,comment
 کالوک ,"
                            کالوک غذاهای عربی، ایرانی و فرنگی داره. من غذایی گرفتم به نام قالیه که یه غذای عربی تند بود  که از نظر من که تندی دوست دارم خیلی خوشمزه و عالی بود. سالادسزار هم خیلی تازه و سس خوشمزه ای داشت. فضای رستوران مثل بار می مونه که من دوست داشتم. در کل خیلی راضی بودم. امتحان کنید فکر کنم پشیمون نشید😉
                        "
 کالوک ,"
                            ما برای تولد همسرم اونجا رفتیم که میز تولد رو خیلی زیبا دیزاین کرده بودن.غذا هاشونم خوب بود.سرویس دهی هم عالی.تنها نکته منفی شلوغی و سروصدا و فشرده بودن میزها و بوی دود سیگار و قلیان هست
کنافه هم سفارش دادیم که با توجه به اینکه پسته نداشت به نظرم قیمتش بالا بود ولی قیمت بقیه غذاها متناسب با کیفیت و حجمشون بود

                        "
 کالوک ,"
                            برای ناهار رفتم سوپ قارچ و مرغ خیلی خوب بود حجم مناسب داشت پیتزا مخصوص هم خوب بود و با چک این نوشیدنی لیموناد رایگانم آوردن واقعا به مشتری احترام میزارن غذای با کیفیت ارائه میدن ، نکته منفی آنچنانی نداشت شاید ولی صدای بلند موزیک و بوی قلیون برای بعضی افراد آزار دهنده باشه و مورد پسند واقع نشه.
                        "
 کالوک ,"
                            رستوران دارای سه قسمت هست، بالکن، قسمت سیگار و قلیون و قسمت no smoking
فضای دوستانه و همیشه شلوغی داره
سینی مزه اش عالیه 
                        "
 کالوک ,"
                            قیمت مناسب محیط خوب . اما داخل سالن کاملا بوی سیگار و قلیون احساس می شه . و یک گارسون دارند که خالکوبی داره و خیلی عصبیه.
ولی در مجموع بد نیست. خصوصا آفر موهیتوی رایگان. جذابترش می کنه
                        "
 کالوک ,"
                            من کالوک اندرزگو رفتم. پیتزا استیک با سس پستو گرفتم. اسم پیتزاش یادم نیست دقیقا ولی خوشمره و باکیفیت و بزرگ بود. برای دو نفر کافیه. سالاد سزار ترکیبی هم مقدارش زیاد و مرغش خوشمزست. کاهوش به 
نسبت مرغش کمه. فضای شعبه اندرزگو قشنگه ولی بوی قلیون زیاد بود. چون علاوه بر بالکن داخل رستوران هم قلیون می کشیدن که من دوست نداشتم.  
                        "
 کالوک ,"
                            رستوران کالوک رستورانی با غذاهای ایتالیایی واقع در منطقه سعادت‌آباد تهران، روزانه پذیرای تعداد زیادی از هموطنان تهرانی است. این رستوران از متد خاص سرآشپز معروف ایتالیا «سالواتی » پیروی می‌کند. خود این فرد هم در بازدیدی از کالوک این ادعا را تأیید کرد.
با وارد شدن از درب چوبی زیبای این رستوران، محیط بزرگ و چیدمان اصولی میزها نظر شما را به خود جلب می‌کند. برخلاف محیط تاریک سایر رستوران‌های ایتالیایی، نورپردازی کالوک بسیار حرفه‌ای و جذاب است. رنگ‌های روشن به‌کاررفته در دکوراسیون و پخش موسیقی ملایم و دلنشین، فضای آرامش‌بخش و دل‌انگیزی را برای مهمانان به وجود می‌آورد. قاب های چشم نواز نشسته روی دیوار، زیبایی این رستوران را دو چندان کرده است.حتماٌ استیک خوشمزه کالوک را با طعم بی‌نظیر سس آلبالو امتحان کنید. به جرات می‌توان گفت که استیک‌های کالوک با هیچ رستوران دیگری برابری نمی‌کند. زیرا در تهیه آن‌ها از گوشت‌های تازه و سس‌های جدید و عالی استفاده می‌شود. یکی دیگر از نقاط قوت کالوک نسبت به سایر رستوران‌های ایتالیایی سطح شهر، حجم غذاهای آن است. به گفته آقای رنجبر، غذاهای ایتالیایی کم‌حجم‌ترین غذاها بعد از غذاهای فرانسوی هستند، اما در این رستوران مقدار غذاها بر طبق ذائقه ایرانی تعیین شده است. حتی علی‌رغم مصرف 70 گرم مرغ در سالاد سزار سایر رستوران‌های ایتالیایی، در کالوک سه برابر این مقدار یعنی 200 گرم برای یک پرس از این سالاد استفاده می‌شود.
با منوی متنوع رستوران کالوک شامل انواع سالادهای خوشمزه، نوشیدنی‌های گوارا، پیتزا، پاستا و غیره می‌توانید با هر بار مراجعه به این رستوران طعم‌های جدیدی را تجربه کنید. قیمت مناسب با توجه به قرار گرفتن در یکی از بهترین مناطق تهران، سطح بالای رستوران و کیفیت غذاهای آن نقطه قوتی برای کالوک به‌حساب می‌آید
                        "
 کالوک ,"
                            رستورانی برای تمام سلیقه ها... 
غذاهای خوش پخت با کیفیت خوب و دیزاین زیبا...
سینی گریل ، استیک، بیف استروگانوف و سالادهای این رستوران امتحان شده و پیشنهاد میشن.
                        "
 کالوک ,"
                            درود بر تمامی دوستان،از نظر بنده رستوران کالوک با در نظر گرفتن فاکتورهایی که از یک رستوران خوب چه از نظر کیفیت غذا و همخوانی قیمت چه از نظر سرویس ارائه شده و رفتار مناسب پرسنل و محیط انتظار میره،جزو بهترینهای تهرانه.بیش از ده بار به این رستوران مراجعه کردم و تنها رستورانی بوده که همیشه راضی بودم و لذت بردم.برای تشکر بابت پذیرایی عالیشون مراجعه به این رستوران رو به دوستان پیشنهاد میدم و امیدوارم که مثل بنده لذت ببرید. 
                        "
 کالوک ,"
                            چیکن کاری اش خیلی خوب بود و من پیشنهاد اولم هست.
                        "
